municipality_id,source_id,url,http_status,bytes,text_chars,status,error
M056,S-M056-03,https://www.town.okuizumo.shimane.jp/kurashi/gomi-recycle/1773388412727.html,200,32196,1065,OK,
M057,S-M057-01,https://www.iinan.jp/soshiki/8/1865.html,200,17316,2252,OK,
M057,S-M057-02,https://www.unnan-yume.net/files/format/kankyo_ebook_iishi.pdf,200,6156275,28199,OK,
M057,S-M057-03,https://www.unnan-yume.net/kankyo/gomi-calendar/calendar.php,200,69646,6841,OK,
M058,S-M058-01,https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/environment/4377,200,21962,1252,OK,
M058,S-M058-02,https://www.town.shimane-kawamoto.lg.jp/files/original/20260331171521171fa6559a6.pdf,200,298181,2257,OK,
M058,S-M058-03,https://www.town.shimane-kawamoto.lg.jp/gyosei/gyosei_environment/environment/gomibukuro,200,21358,1230,OK,
M059,S-M059-01,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/guide,200,15062,1043,OK,
M059,S-M059-02,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/1482,200,19110,1194,OK,
M059,S-M059-03,https://gov.town.shimane-misato.lg.jp/kurasi/kankyo/246/qa,200,25235,3807,OK,
M060,S-M060-01,https://www.town.ohnan.lg.jp/soshiki/4/1072.html,200,34555,11754,OK,
M060,S-M060-02,https://www.town.ohnan.lg.jp/soshiki/4/1267.html,200,24840,4622,OK,
M060,S-M060-03,https://www.town.ohnan.lg.jp/www/contents/1725430530282/simple/keikaku.pdf,404,0,0,ERROR,HTTPError: 404 Client Error: Not Found for url: https://www.town.ohnan.lg.jp/www/contents/1725430530282/simple/keikaku.pdf
M061,S-M061-01,https://www.town.tsuwano.lg.jp/www/contents/1000000358000/index.html,200,21323,4159,OK,
M061,S-M061-02,https://www.town.tsuwano.lg.jp/www/contents/1000000358000/simple/gominowakekatadasikatanotebikisyo.pdf,200,5806106,37449,OK,
M061,S-M061-03,https://www.town.tsuwano.lg.jp/www/contents/1000000356000/index.html,200,31034,7650,OK,
M062,S-M062-01,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,200,14029,1400,OK,
M062,S-M062-02,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomikarennda-.html,200,18468,1277,OK,
M062,S-M062-03,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/shigengomi.html,200,13385,1554,OK,
M062,S-M062-04,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/raitabunnbetu.pdf,200,127994,543,OK,
M063,S-M063-01,https://www.town.ama.shimane.jp/kurashi-tetsuduki/kurashi/gomi-recycle/r44t8e7yf3,200,192088,727,OK,
M063,S-M063-02,https://www.town.ama.shimane.jp/kurashi-tetsuduki/kurashi/gomi-recycle/r44t8e7yf3,200,192088,727,OK,
M064,S-M064-01,https://www.town.nishinoshima.shimane.jp/bunya/b_sumai/b_gomi/833,200,17570,3216,OK,
M064,S-M064-02,https://www.town.nishinoshima.shimane.jp/files/original/202601221430235172519a52c.pdf,200,322581,8567,OK,
M066,S-M066-01,https://www.town.okinoshima.shimane.jp/kurashi/gomi-kankyo/katei_gomi/2/5013.html,200,60338,5871,OK,
M066,S-M066-02,https://www.town.okinoshima.shimane.jp/soshiki/kankyo/gyomu/1/1/1/242.html,200,58981,4863,OK,
M066,S-M066-03,https://www.town.okinoshima.shimane.jp/section/reiki_int/reiki_honbun/r074RG00000334.html,200,62556,16950,OK,
M067,S-M067-01,https://www.city.okayama.jp/kurashi/category/1-12-7-10-0-0-0-0-0-0.html,200,19533,2190,OK,
M067,S-M067-02,https://www.city.okayama.jp/kurashi/category/1-12-7-10-7-0-0-0-0-0.html,200,21548,2510,OK,
M067,S-M067-03,https://www.city.okayama.jp/kurashi/0000053082.html,200,27954,6821,OK,
M067,S-M067-04,https://www.city.okayama.jp/kurashi/0000028002.html,200,31203,8099,OK,
M068,S-M068-01,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/index.html,200,28119,6489,OK,
M068,S-M068-02,https://www.city.kurashiki.okayama.jp/kurashi/kankyo/1003645/1013690/1012155.html,200,423764,141574,OK,
M069,S-M069-01,https://www.city.tsuyama.lg.jp/common/photo/free/files/15157/202207061635570688633.pdf,200,1524520,57094,OK,
M069,S-M069-02,https://www.city.tsuyama.lg.jp/common/photo/free/files/7728/202405151157250785579.pdf,200,7347279,7992,OK,
M070,S-M070-01,https://www.city.tamano.lg.jp/site/recycle/1630.html,200,22597,5237,OK,
M071,S-M071-01,https://www.city.kasaoka.okayama.jp/soshiki/18/7239.html,200,23633,3807,OK,
M071,S-M071-02,https://www.city.kasaoka.okayama.jp/soshiki/18/1822.html,200,24481,4359,OK,
M071,S-M071-03,https://www.city.kasaoka.okayama.jp/soshiki/18/74031.html,200,22865,3694,OK,
M071,S-M071-04,https://www.city.kasaoka.okayama.jp/soshiki/18/1738.html,,0,0,ERROR,"ReadTimeout: HTTPSConnectionPool(host='www.city.kasaoka.okayama.jp', port=443): Read timed out. (read timeout=6)"
M071,S-M071-05,https://www.city.kasaoka.okayama.jp/soshiki/18/1746.html,200,22898,3499,OK,
M072,S-M072-01,https://www.city.ibara.okayama.jp/soshiki/13/13158.html,200,32644,8580,OK,
M072,S-M072-02,https://www.city.ibara.okayama.jp/soshiki/13/19195.html,200,34139,7692,OK,
M072,S-M072-03,https://www.city.ibara.okayama.jp/soshiki/13/1437.html,200,28596,6071,OK,
M072,S-M072-04,https://www.city.ibara.okayama.jp/soshiki/13/18463.html,200,29560,6678,OK,
M073,S-M073-01,https://www.city.soja.okayama.jp/soshiki/34/4198.html,200,52733,8611,OK,
M074,S-M074-01,https://www.city.takahashi.lg.jp/soshiki/14/gomibunbetsu.html,200,16071,4983,OK,
M075,S-M075-01,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/37602.html,200,42354,3090,OK,
M077,S-M077-01,https://www.city.setouchi.lg.jp/soshiki/14/138748.html,200,23797,4458,OK,
M077,S-M077-02,https://www.city.setouchi.lg.jp/uploaded/attachment/126501.pdf,200,1433534,4944,OK,
M077,S-M077-03,https://www.city.setouchi.lg.jp/soshiki/14/154186.html,200,24011,6185,OK,
M077,S-M077-04,https://www.city.setouchi.lg.jp/soshiki/14/139499.html,200,21770,3433,OK,
M078,S-M078-01,https://www.city.akaiwa.lg.jp/kurashi/gomi/gomi/kankyo_center/gomibunbetu/index.html,200,38643,2206,OK,
M078,S-M078-02,https://www.city.akaiwa.lg.jp/kurashi/gomi/gomi/kankyo_center/gomibunbetu/7755.html,200,42541,4916,OK,
M078,S-M078-03,https://www.city.akaiwa.lg.jp/annai/shiminseikatsu/kankyou/kurashi/kankyo_eisei/gomi/kankyo_center/gomibunnbetu/9352.html,200,50735,10475,OK,
M079,S-M079-01,https://www.city.maniwa.lg.jp/soshiki/171/98300.html,200,26552,11387,OK,
M079,S-M079-02,https://www.city.maniwa.lg.jp/uploaded/attachment/35804.pdf,200,985831,1594,OK,
M080,S-M080-01,https://www.city.mimasaka.lg.jp/soshiki/shimin/kankyo/Cleancenter/life_guide01.html,200,178019,23132,OK,
M080,S-M080-02,https://www.city.mimasaka.lg.jp/material/files/group/14/REIWA8NENNDOGOMMIKARENNDA-1.pdf,200,2547405,34113,OK,
M081,S-M081-01,https://www.city.asakuchi.lg.jp/page/1109.html,200,28367,6635,OK,
M081,S-M081-02,https://www.city.asakuchi.lg.jp/page/1143.html,200,28127,6351,OK,
