municipality_id,candidate_id,source_page,anchor_text,official_url,host,authority_type,fetch_status,http_status,text_chars,item_hit_count,category_hit_count,matched_items,recommended,reason,checked_date
M062,DISC-M062-C8E7D35B19,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.html,【分別リスト（PDFファイル:163KB）】,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/gomi.data/bunnbeturisuto_eigo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,15179,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M062,DISC-M062-5F80BEB87A,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/shigengomi.html,資源ごみ収集場所 （PDFファイル:91KB）,https://www.town.yoshika.lg.jp/kurashi/seikatsu/gomi/shigengomi.data/sigenngomisyuusyubasyo.pdf,www.town.yoshika.lg.jp,MUNICIPAL_DOMAIN,OK,200,589,0,1,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M064,DISC-M064-21796C65B5,https://www.town.nishinoshima.shimane.jp/bunya/b_sumai/b_gomi/833,「西ノ島町ごみ分別ガイドブック（令和3年1月発行）」をダウンロードする（PDF：2.9MB）,https://www.town.nishinoshima.shimane.jp/files/original/20240606164233074733b7020.pdf,www.town.nishinoshima.shimane.jp,MUNICIPAL_DOMAIN,OK,200,22540,28,2,I001|I002|I003|I006|I011|I012|I013|I014|I015|I017|I018|I020|I021|I022|I023|I024|I026|I027|I028|I030|I031|I032|I033|I034|I036|I038|I039|I040,TRUE,high-value official item/index text,2026-08-20
M075,DISC-M075-E106835919,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/37602.html,ごみ分別一覧表,https://www.city.niimi.okayama.jp/media_images_01/files/___R5.11.1___bunnbetu-ichirann2%20%20%281%29.pdf,www.city.niimi.okayama.jp,MUNICIPAL_DOMAIN,OK,200,11583,16,3,I002|I013|I017|I018|I020|I021|I022|I024|I026|I027|I030|I031|I032|I033|I036|I038,TRUE,high-value official item/index text,2026-08-20
M075,DISC-M075-B243B5A066,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/37602.html,店頭等での資源回収実施状況一覧表,https://www.city.niimi.okayama.jp/media_images_01/files/sigennkaisyuu%281%29.pdf,www.city.niimi.okayama.jp,MUNICIPAL_DOMAIN,OK,200,446,9,0,I001|I002|I013|I014|I015|I016|I017|I030|I034,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M075,DISC-M075-F7CB2C8BBB,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/37602.html,ごみの正しい分け方・出し方,https://www.city.niimi.okayama.jp/kurashi/kurashi_detail/index/41805.html,www.city.niimi.okayama.jp,MUNICIPAL_DOMAIN,OK,200,3311,0,2,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M090,DISC-M090-45FE8959C8,https://www.vill.nishiawakura.okayama.jp/wp/%E3%81%94%E3%81%BF%E3%81%AE%E5%87%BA%E3%81%97%E6%96%B9%E3%81%A8%E3%81%94%E3%81%BF%E5%8F%8E%E9%9B%86%E3%82%AB%E3%83%AC%E3%83%B3%E3%83%80%E3%83%BC/,家電４品目の処分方法（PDF）,https://www.vill.nishiawakura.okayama.jp/wp/wp-content/uploads/2022/08/84b6e104dcfbe1705a3f460ca2268252.pdf,www.vill.nishiawakura.okayama.jp,MUNICIPAL_DOMAIN,OK,200,768,2,0,I021|I037,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M093,DISC-M093-D4520CE9E4,https://www.town.kibichuo.lg.jp/soshiki/7/4401.html,吉備中央町ごみ分別ガイドブック [PDFファイル／5.01MB],https://www.town.kibichuo.lg.jp/uploaded/attachment/11637.pdf,www.town.kibichuo.lg.jp,MUNICIPAL_DOMAIN,OK,200,48226,33,8,I001|I002|I003|I004|I005|I009|I010|I011|I012|I013|I014|I015|I016|I017|I018|I020|I021|I022|I023|I024|I026|I027|I028|I029|I030|I031|I032|I033|I034|I036|I038|I039|I040,TRUE,high-value official item/index text,2026-08-20
M093,DISC-M093-80AA992176,https://www.town.kibichuo.lg.jp/soshiki/7/4401.html,指定ごみ袋販売取扱店一覧表 [PDFファイル／106KB],https://www.town.kibichuo.lg.jp/uploaded/attachment/13437.pdf,www.town.kibichuo.lg.jp,MUNICIPAL_DOMAIN,OK,200,1532,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
M101,DISC-M101-8A63FED0D4,https://www.city.miyoshi.hiroshima.jp/garbage-item/search/garbage_rule.php,ごみの持ち出し日 検索,https://www.city.miyoshi.hiroshima.jp/garbage-item/search/garbage_area.php,www.city.miyoshi.hiroshima.jp,MUNICIPAL_DOMAIN,OK,200,919,0,0,,FALSE,official candidate but insufficient extracted item/category coverage,2026-08-20
